na_item,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
B1GQ,CP_EUR_HAB,AT	28500 	29600 	30800 	32200 	34000 	35100 	34300 	35200 	36800 	37600 	38100 	38500 
B1GQ,CP_EUR_HAB,BE	27200 	28700 	29700 	31000 	32500 	33100 	32300 	33500 	34500 	35000 	35400 	35900 
B1GQ,CP_EUR_HAB,BG	2400 	2700 	3100 	3600 	4300 	4900 	4900 	5000 	5600 	5700 	5800 	5900 p
B1GQ,CP_EUR_HAB,CH	42200 	42600 	43800 	45500 	46000 	49000 	50000 	55900 	63400 	64700 	63700 p	64600 p
B1GQ,CP_EUR_HAB,CY	17800 	19000 	20200 	21500 	22800 	23900 	22900 	23000 	23000 	22500 	21000 	20400 p
B1GQ,CP_EUR_HAB,CZ	8600 	9400 	10700 	12100 	13400 	15400 	14100 	14900 	15600 	15300 	14900 	14700 
B1GQ,CP_EUR_HAB,DE	26900 	27500 	27900 	29100 	30600 	31200 	30000 	31600 	33100 	33600 	34400 	35400 
B1GQ,CP_EUR_HAB,DK	35900 	37400 	39300 	41500 	42800 	43900 	41700 	43500 	44200 	45200 	45500 	46200 
B1GQ,CP_EUR_HAB,EA	24900 	25800 	26500 	27700 	29000 	29500 	28100 	28800 	29400 	29400 	29600 	30000 
B1GQ,CP_EUR_HAB,EA18	24200 	25100 	25900 	27100 	28400 	29000 	27900 	28600 	29200 	29300 	29500 	30000 
B1GQ,CP_EUR_HAB,EA19	24000 	24900 	25700 	26900 	28300 	28800 	27700 	28400 	29100 	29100 	29400 	29800 
B1GQ,CP_EUR_HAB,EE	6300 	7100 	8300 	10000 	12100 	12300 	10600 	11000 	12500 	13600 	14400 	15200 
B1GQ,CP_EUR_HAB,EL	16400 	17700 	18100 	19800 	21100 	21800 	21400 	20300 	18600 p	17300 p	16500 p	16200 p
B1GQ,CP_EUR_HAB,ES	19000 	20100 	21300 	22700 	23900 	24300 	23300 	23200 	22900 	22300 p	22100 p	22400 p
B1GQ,CP_EUR_HAB,EU28	21300 	22300 	23200 	24500 	25800 	25900 	24300 	25300 	26000 	26500 	26600 	27400 
