GEO,SEX,AGE,UNIT,ISCED11\TIME	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
European Union (28 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	46.3	46.4	46.6	46.6	46.5	46.5	46.6	46.6	46.7	46.6
European Union (27 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	46.2	46.3	46.5	46.5	46.4	46.3	46.5	46.4	46.6	46.4
European Union (15 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	42.0	42.0	42.2	42.3	42.2	42.4	42.6	42.7	42.9	43.1
Euro area (19 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	42.0	42.2	42.6	42.7	42.6	42.8	43.2	43.3	43.6	43.9
Euro area (18 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	41.9	42.1	42.4	42.6	42.4	42.7	43.1	43.2	43.5	43.8
Euro area (17 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	41.7	42.0	42.3	42.5	42.3	42.6	43.0	43.1	43.5	43.7
Belgium,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	36.5	36.4	37.1	38.0	38.1	36.7	37.7	37.4	38.1	37.8
Bulgaria,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	48.8	51.3	52.8	52.8	53.2	54.7	55.9	56.4	55.7	53.8
Czech Republic,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	72.2	72.2	72.2	71.7	71.4	71.1	70.3	69.6	69.0	68.5
Denmark,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	45.8	45.3	41.7	40.8	40.9	40.7	41.5	41.6	41.4	42.0
Germany (until 1990 former territory of the FRG),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	54.6	55.3	56.1	56.3	55.8	56.1	57.6	57.2	57.1	57.1
Estonia,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	52.4	52.0	52.5	51.3	50.6	51.8	51.0	51.1	51.9	52.2
Ireland,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	37.4	37.0	37.0	37.3	37.1	36.7	37.0	36.5	36.4	38.6
Greece,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	42.3	39.9	40.1	40.5	40.5	40.6	40.7	41.3	41.4	42.2
Spain,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	22.3	22.8	23.1	23.1	23.2	23.4	23.7	23.6	23.5	23.9
France,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	41.1	41.1	41.6	42.3	41.8	41.9	42.0	41.9	43.1	43.7
Croatia,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	57.3	58.2	59.9	60.5	60.2	58.8	60.0	61.1	60.5	60.7
Italy,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	38.6	39.1	39.3	39.5	40.1	40.7	41.4	41.9	42.2	42.7
Cyprus,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	38.1	38.8	39.1	38.6	38.2	38.3	38.0	38.6	39.2	37.5
Latvia,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	58.5	58.0	57.5	56.5	57.0	57.8	56.8	57.4	56.4	57.0
Lithuania,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	56.9	57.4	56.4	56.1	56.5	56.0	56.3	56.4	55.8	54.3
