"","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Belgium",16567,17216,17566,17993,19309,19458,19950,20280,21501,21698
"Bulgaria",NA,1379,1479,2180,2828,3017,2911,2859,2924,3320
"Czech Republic",4233,4802,5423,6068,7295,7058,7451,7791,7694,7622
"Denmark",22116,22637,23349,24154,25027,25672,26421,26580,27434,27780
"Germany ",16395,15646,17774,18304,18586,18795,19043,19592,19545,19712
"Estonia",2980,3636,4447,5541,6209,5727,5603,5985,6583,7210
"Ireland",18798,19757,22065,22995,22445,20512,19726,19078,19065,19636
"Greece",9400,9833,10080,10800,11530,11963,10985,9460,8377,7680
"Spain",10417,11111,11644,13963,14795,14605,13929,13864,13523,13269
"France",15937,16234,16460,18899,19657,19960,20005,20605,20915,21206
"Croatia",NA,NA,NA,NA,NA,5810,5579,5377,5078,5225
"Italy",14307,14560,15106,15640,15605,15964,15971,15979,15733,15759
"Cyprus",13167,14536,16014,16024,16451,16180,16990,16927,15873,14400
"Latvia",2078,2524,3363,4727,5355,4488,4195,4459,4663,5210
"Lithuania",2057,2534,3273,4110,4715,4026,3857,4337,4698,4821
"Luxembourg",28396,29480,29892,30917,31764,32333,32538,32779,33301,34320
"Hungary",3447,3849,3936,4400,4739,4241,4535,4753,4529,4564
"Malta",8591,9030,9304,10009,10503,10435,10862,11449,12093,12787
"Netherlands",17002,17263,18244,19522,20156,20292,20310,20562,20834,20891
"Austria",17758,17854,18156,19413,20469,21058,21463,21807,22073,23211
"Poland",2531,3111,3502,4154,5090,4402,5032,5057,5174,5339
"Portugal",7200,7311,7576,8152,8267,8678,8410,8323,8177,8229
"Romania",NA,NA,1658,1956,2162,2037,2115,2116,2071,2201
"Slovenia",8797,9317,9907,10893,11864,11736,11999,12122,11852,11909
"Slovakia",2830,3313,3970,4791,5671,6117,6306,6927,6737,6809
"Finland",17481,18304,18703,19794,20962,21349,21826,22699,23272,23702
"Sweden",17501,17993,18848,20573,21231,19728,22498,24639,26413,27120
"United Kingdom",18546,19403,21139,18766,16266,17106,17136,19168,18694,20584
"Iceland",23662,28463,28778,32154,22360,18320,18953,19360,21230,22477
"Norway",25668,28410,28930,31787,33733,32419,36475,40127,42937,43775
