"","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","United Kingdom","Iceland","Norway","Switzerland"
"2005",16922,14816,NA,NA,11374,3842,20591,2626,16410,15670,16864,8786,3206,17207,14224,1858,1821,26914,9028,16811,2351,7900,NA,2501,7529,10257,16807,16042,24802,22463,NA
"2006",16142,14963,1184,NA,12617,4321,21161,3188,16654,15631,15709,9265,3351,18956,14282,2094,2080,27656,9328,17059,2838,8048,NA,2909,8014,10677,17683,16821,30194,26389,NA
"2007",16544,15384,1222,NA,13632,4894,21551,3847,17100,16450,16237,9628,3501,20056,14618,2983,2694,28572,9340,17913,3154,8455,1351,3364,8426,11360,18377,17705,30363,26473,25861
"2008",17255,15792,1915,NA,14049,5435,22502,4718,18008,19450,17049,9923,3938,20954,15209,4039,3335,29208,10149,18688,3675,8975,1648,4052,9173,12077,18672,15899,33953,29215,24910
"2009",18216,16826,2261,NA,14947,6396,22256,5283,19006,19718,16876,10415,4214,20625,15256,4520,3970,29644,10784,19586,4357,8908,1806,4913,10138,14427,18722,14466,24171,30696,25027
"2010",18615,16960,2341,4802,14357,6159,23640,5173,19290,20074,16891,10707,3739,19598,15700,3901,3636,30461,10693,19435,3732,9200,1719,5257,9702,14286,17662,15219,19702,29167,26692
"2011",19211,16658,2172,4494,15060,6491,24037,4812,19676,20125,17139,9697,3878,18347,15460,3763,3416,30231,10814,19141,4301,8973,1745,5596,9914,13591,19907,14913,19411,32394,28757
"2012",19768,16709,2192,4391,14874,6905,23857,5135,20587,20853,17258,8558,3918,17729,15500,3910,3645,30057,11340,19563,4366,9043,1729,5921,9994,13480,21878,17235,20174,35531,32492
"2013",19903,17691,2203,4239,14362,6665,23805,5894,20985,20939,17442,7546,3781,17587,15253,4086,4016,30600,11577,19671,4436,8582,1680,5925,9603,13143,22747,16392,21903,38854,33862
"2014",20661,17775,2518,4330,12954,6532,26216,NA,21332,21039,16668,6944,3847,NA,15365,4365,4016,30967,12020,19548,4500,8163,1788,5905,9825,12610,23743,NA,NA,39610,NA
