"","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","United Kingdom","Iceland","Norway","Switzerland"
"2005",20548,17964,NA,NA,15259,4897,23632,3467,18520,18431,18792,11713,3993,22537,18688,2500,2367,32511,11944,18791,2959,12449,NA,3136,9880,12942,19208,22876,26168,28038,NA
"2006",20496,18219,1690,NA,16888,5436,24400,4199,18924,18744,18552,12199,4677,24745,18617,3111,2850,33367,12204,19158,3559,12421,NA,3833,10295,13600,19559,22977,31967,33387,NA
"2007",20978,18645,1879,NA,19030,6184,25407,5078,19478,18372,19196,12542,4377,26500,19269,4059,3721,34482,12101,20390,3984,12707,2098,4415,10613,14064,20594,24677,33434,30971,32784
"2008",22459,19692,2878,NA,18897,6811,26190,5967,20830,22567,20089,12994,4832,26967,19832,5643,4644,34748,13452,21769,4708,12489,2491,5191,11442,15193,21929,21704,36875,34052,30846
"2009",23357,20957,3478,NA,19030,8191,25922,6693,21823,23307,19903,13532,5201,26408,20053,6190,5421,36536,14133,22190,5677,12719,2723,6221,12556,17725,22587,18740,26066,36474,33398
"2010",24541,21178,3676,6878,18792,7844,26855,6091,21985,23517,20271,13989,4651,24048,20033,5157,4516,36982,13607,22095,4854,12403,2506,6778,12349,17627,20785,19591,20540,34976,33933
"2011",24768,21078,3549,6383,19522,8230,27700,5918,22533,23290,20669,12197,5073,21862,19944,4741,4163,37204,13896,21800,5512,11922,2531,6959,12489,16978,23795,19760,20594,39264,37476
"2012",25043,21256,3377,6093,20084,8497,27897,6479,23313,23794,21184,9744,5252,20750,20047,5010,4748,38121,14393,22287,5513,11536,2531,7519,12387,16446,26226,21235,21917,42206,42559
"2013",25227,22866,3563,5900,19155,8467,28985,7181,23978,23982,21033,8877,5033,20799,19316,5261,5200,40236,15541,22362,5627,11187,2490,7294,11970,16131,27792,20805,23860,46126,43894
"2014",26392,22518,3984,5938,18325,8304,29372,NA,24046,23712,21043,8495,5152,NA,19480,5990,5387,39249,16192,21890,5743,11038,2627,7481,12041,15713,28722,NA,NA,45733,NA
