"","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","United Kingdom","Iceland","Norway","Switzerland"
"2005",25475,23214,NA,NA,21521,6823,28847,4842,25880,24670,23539,16939,6129,32401,27176,4054,4129,44988,15223,24572,5294,21013,NA,4116,14949,17247,22844,29935,32976,40506,NA
"2006",25636,25340,2255,NA,23252,7740,29438,5692,26551,24244,23718,17992,7273,33304,26345,5023,4803,47400,16055,25197,6396,20956,NA,5000,15265,18359,22783,32148,41705,40998,NA
"2007",26825,24877,2435,NA,25637,8540,31446,7017,27449,24152,25146,18655,6599,36748,27606,5839,5977,48845,15323,27368,7035,21341,4289,5650,15257,18818,23958,35569,43186,37291,42202
"2008",27855,26242,3763,NA,25910,9327,31732,8196,29170,29790,26128,19439,7039,37809,26995,8560,7209,50841,16889,28820,8075,20728,4940,6859,16522,20044,26290,31289,47213,42476,42564
"2009",29926,27402,4764,NA,26765,11699,31496,9406,30084,31675,26820,20451,7574,34905,27839,9707,8846,53231,17762,29161,9770,20724,5086,8347,17594,24515,26968,26054,33579,44548,44963
"2010",30869,27776,5196,9813,26819,11350,33227,8901,30628,31020,27270,20927,6635,32008,27544,8168,7255,51970,17919,28567,8029,20180,4563,8908,17595,24325,24495,27110,25235,41282,47196
"2011",31214,27827,5402,9286,26685,11862,36175,8455,30943,32176,26948,18627,7737,30321,27196,7516,6361,51058,18458,28673,8930,19901,4304,8913,17816,23285,27939,27147,24736,45627,51422
"2012",32157,27986,4845,9210,27412,12254,35177,8936,31991,32630,27243,15350,7782,28766,27460,8031,7185,51755,19076,28435,8990,18453,4171,9736,17719,22836,30618,29465,25084,48782,57359
"2013",31147,29233,5453,8832,26457,11978,35342,9714,32792,32720,27570,13954,7632,29435,26868,8383,7921,54955,20812,28524,8873,17793,4219,9059,17226,21838,32711,28319,26744,53097,59477
"2014",32678,29937,5992,8685,25238,11580,37333,NA,33005,32518,27568,13020,7549,NA,26971,9043,8561,53562,21544,28940,9101,17081,4066,9489,17175,21372,33791,NA,NA,54383,NA
